Address,manually labeled proxy(yes/no),detection(yes/no)
0x8b9720b7017f90032500452ea4d1709a7a3e740c,yes,yes
0xea2977e88938561dc633c560d0a170c91d90da95,yes,yes
0xfb9f0bac46697a87eda5a48a5232231bb0ba156f,yes,yes
0xbf45f4280cfbe7c2d2515a7d984b8c71c15e82b7,yes,yes
0x217375af2de10c73f94408c3258a956df106ba98,yes,yes
0x39283682b121cdfa38485933b676da6ba893d6b7,yes,yes
0xf479c029ed8af4a6a23248ac826812cf7cbd4d2c,yes,yes
0x43d999789559f9a352537d979d024b335bf34ba3,yes,yes
0x5d89cd6f9cf66ab82513b396a46c0c812af89b5c,yes,yes
0xc9475b6326bc9a5c4cf323927ae9818491cc528d,yes,yes
0xdb25f211ab05b1c97d595516f45794528a807ad8,yes,yes
0x4be1f1026fb4280f1ab3c35e16a38fb13c2faf4a,yes,yes
0x5982f9decc836248b2c72cf23af1ec2a64173fcc,yes,yes
0x7963aa3202d186e0da113423da0fccf879b69cb2,yes,yes
0x8e9748c70ce9155147e25f28226d3e803c5a7ef2,yes,yes
0xce41fc6412cc87b1b53b7a7d8bed2c8f8bb33c9a,yes,yes
0xd819e948b14ca6aad2b7ffd333ccdf732b129eed,yes,yes
0xea7a7bc3ba38b2569b6bee8dcd8acb4218c08716,yes,yes
0x1757f3f01fbf888c9e7c0b407654d014be4ab0ab,yes,yes
0x1e4f16c92026b96d5bb42045993657d8b39253e9,yes,yes
0x1e883b70089381cf1db87e88c45d5a92ee149e7c,yes,yes
0x275d5d1a8f887b63e7c6f6a5ca5f0b0af4826a62,yes,yes
0x3410349f1e02e3beab54b1513fc2c9d2bab6d7ac,yes,yes
0x4671740ff9744fc197df8c3fe32ea9b18b207982,yes,yes
0x4936790a58f5ae1c06210cba4eb1024fd7d535ac,yes,yes
0x4b04b829d4e6803ff7ad7c87ea3a0e453d379da7,yes,yes
0x50456eb644207302e054093d8fb9c4193755e6be,yes,yes
0x5689c65cfe5e8bf1a5f836c956dea1b3b8be00bb,yes,yes
0x578a26ed597f89a05e0e163607f42c51c5015945,yes,yes
0xa02f5f130f8112ee1a91ea43026c7895c2a5bb8f,yes,yes
0x5be38552d1714c4defe94edb66df208083a601b4,yes,yes
0x9e4cb07dfd2a121a53bee4f994d0907b1f39b03a,yes,yes
0x63c50a1fe505e9dc77bc6a75e6643099a0816f67,yes,yes
0x644e3cbc36f6b5d01c900065c732df699dcb492b,yes,yes
0xa6a7cae8fe19daa4af8f06f5c9b13db432c73e7e,yes,yes
0xcd6be2a7dde6503503579ea04026305c9cbd4d26,yes,yes
0xd98e59c710eaf3608f4dd073c2e843826f0d7e12,yes,yes
0xbedbf2d05237af8595039760d14fec731c78ac62,yes,yes
0xf7d5060c181f9ed59f619b2c945a2f7c3ee9cce2,yes,yes
0xd9d0f8f727c4607d89ab897656aaa921054ad1e3,yes,yes
0xe964a36142bbe39751d0b4d6140fc0b8c48e68be,yes,yes
0xe01da25c86fe02869e98102516209f51777a5bd9,yes,yes
0xe470198cda121da5b6ad349d3577b166e5985917,yes,yes
0xbee78bcfb956edbfef19655471b5a6ee7bcd6b71,yes,yes
0xd01d9bc57e450923b414561b355f54139cef705d,yes,yes
0xb733eb1fd233956cc689a6c082d4d0a47e3975e1,yes,yes
0x65475e604cf3016a738f8aac71cea18b0c2021b4,yes,yes
0x68a64df7458a8eb2677991e657508fe00205332d,yes,yes
0xaba8421dee292cee1e17cd5504f460ac438cc860,yes,yes
0x7a70b72db9c59f30c780c4746ce2a0562502ec2b,yes,yes
0x8bbe886294ac356c4ded8fc3e6acdd6683ac26b6,yes,yes
0x7301cfa0e1756b71869e93d4e4dca5c7d0eb0aa6,yes,yes
0x79da9ce7e3af83f5302dc89c39387089dee75e4f,yes,yes
0xc011a72400e58ecd99ee497cf89e3775d4bd732f,yes,yes
0x57ab1e02fee23774580c119740129eac7081e9d3,yes,yes
0x5811e3ce346638eaf61414c91cde7b403c3c4eb5,yes,yes
0xa474722aefabf42175d22053cedb1dc60f9a9211,yes,yes
0x86343be63c60ce182d8b5ac6a84f0722d8d61ae5,yes,yes
0x57ab1ec28d129707052df4df418d58a2d46d5f51,yes,yes
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,yes,yes
0x9c06a2e334aa11b4cc7f10b0d49a7b53a1b61ead,yes,yes
0xc6bd5ae5f9ff04f2f07b9b839950f3546cdfa59f,yes,yes
0x6b4f20b2259eebb97945b6ef549a1c44fca6cd81,yes,yes
0x3c5fe0a3922777343cbd67d3732fcdc9f2fa6f2f,yes,yes
0x051caefa90adf261b8e8200920c83778b7b176b6,yes,yes
0x76def2112b2a5668782f6754640b982683eacbcb,yes,yes
0x277e80f3e14e7fb3fc40a9d6184088e0241034bd,yes,yes
0x12115a32a19e4994c2ba4a5437c22cef5abb59c3,yes,yes
0x47211b1d1f6da45aaee06f877266e072cf8baa74,yes,yes
0x67023c56548ba15ad3542e65493311f19adfdd6d,yes,yes
0xe40e09cd6725e542001fcb900d9dfea447b529c0,yes,yes
0x2a8e1e676ec238d8a992307b495b45b3feaa5e86,yes,yes
0x2ac34f8327aced80cfc04085972ee06be72a45bb,yes,yes
0x04d3c3f23713d469ad6aa826d3ac591a70bbc5c6,yes,yes
0x5d570b759847e0c54951072a3b146d157959ed10,yes,yes
0x3a05d2394f7241e00f4ae90a1f14d9c9c48a1e9b,yes,yes
0x59706d38f1452f387563f06b632af7302456fe66,yes,yes
0x63cbd1858bd79de1a06c3c26462db360b834912d,yes,yes
0x6de77a304609472a4811a0bfd47d8682aebc29df,yes,yes
0x8584af1b39ef8c3f747da4ae67ffffcd18e82fcc,yes,yes
0x9efd60f40e35b3ca7294cc268a35d3e35101be42,yes,yes
0xb8e59ce1359d80e4834228edd6a3f560e7534438,yes,yes
0xfcbb61bcd4909bf4af708f15aaaa905e0978cafc,yes,yes
0x17a30d8eaaf1149f0f133f048041eb167597efb0,yes,yes
0x29ce32fd3507b40dd4ed72109ff15d38b77d80d1,yes,yes
0x2ac64f23d5546248f54c48f8e4bcaa94b32de708,yes,yes
0x5953eb2e1790b9a0cba6f02cc20026a688e19b16,yes,yes
0x627af3b7bb61cb5e96a1f31277eb387defe737a1,yes,yes
0xb661ef22dd089063d48efce2cf8e19917797bbfb,yes,yes
0xdf83c19a6958ce28b1cb9e1751ed05b060505cfd,yes,yes
0xdba694d5204064296247d1210dbfd2fc9b9d95a0,yes,yes
0x17bbe0c96a06ffe1dfb11522277482d04df1e7bd,yes,yes
0x235b8bcbe5c5fd14e1194471e1d802ec91c5e5cf,yes,yes
0xa446d7789f2c1daee6b9377add622a8dfe3c95ba,yes,yes
0xe0cf53f4358948adc63b32338539a119b5fa786f,yes,yes
0xe2c0b47fde7fe49c23a706afdb02c95103601bac,yes,yes
0xe3412d2751f6cfa117a4c5eb71e84aa63a5ee5ff,yes,yes
0x7a9e457991352f8fefb90ab1ce7488df7cda6ed5,yes,yes
0xec88ba505bc341cd590dced6001c29f3b267970a,yes,yes
0x0aacfbec6a24756c20d41914f2caba817c0d8521,yes,yes
0x30bb8d13047204ca2ab8f94d4c96e9dab85bac28,yes,yes
0x1cf0f3aabe4d12106b27ab44df5473974279c524,yes,yes
0x3e460895ddeea50dd67f098f1bceffb03f36a04c,yes,yes
0x3fe0359a4dcbe9c943bbc22bac0ec5565620e30c,yes,yes
0x5e9ea1989853b38dd8c55962146167b3c1e17dfd,yes,yes
0x5e6468b3048d1b5a48ca6eae3953b17fe1165ed9,yes,yes
0x5b2733c3d3acd4abaf86719365fd683408b2c0a8,yes,yes
0x8ee4f840d0f8d6734022eefe4da8e5c6681b9724,yes,yes
0x9da41f7810c2548572f4fa414d06ed9772ca9e6e,yes,yes
0x036cf3821ea246e935feef1c29ed8ddffac1dbb0,yes,yes
0x71dd9cd476c73f7c94a82e3f00a8ed29268602e1,yes,yes
0x73f16f0c0cd1a078a54894974c5c054d8dc1a3d7,yes,yes
0x663e0657202588c0eabd8bd6da67d87d52d3e851,yes,yes
0x741a00905f80adb1334e2b7294e2eb6596aa880e,yes,yes
0x913b6c7cdc4aaee92cd1efbdb6560dd04da98813,yes,yes
0x980d11ac1c26f737ca467bec2c0ed292d06a258c,yes,yes
0x6432a6f1808b6b793aa3cc5eb5de5549fc5dc54c,yes,yes
0x39313c37343224a897cae49b343cd4d3e10c25f1,yes,yes
0x39980a3d1ed5b2cdc48a2259d49d4a4a4201dd2e,yes,yes
0x2404987433ff32e32c5b0f8fb77a74a5bca44acb,yes,yes
0xbbbbbb512661e9a574a8a3e8c12afaf647e98809,yes,yes
0xdba24c1c9432ca0b9f8a51660687ebaddf912900,yes,yes
0xe438c0fffba2a81094b6623e5191866d32814c22,yes,yes
0xe595d67181d701a5356e010d9a58eb9a341f1dbd,yes,yes
0xf47dd16553a934064509c40dc5466bbfb999528b,yes,yes
0xf553e1f826f42716cdfe02bde5ee76b2a52fc7eb,yes,yes
0xbadcf640bf54d28b15235dcec5817756f247cced,yes,yes
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,yes,yes
0x2f7be7265250f461a36e59372bb65081a24d36d3,yes,yes
0x4e44fe174e934ff78a77bee3c2b752fd1beefdef,yes,yes
0x7e9d7a0ff725f88cc6ab3ccf714a1fea68ac160b,yes,yes
0x87a94fc3aa8902d6af104ae22dabfc72c2a4da57,yes,yes
0x3620a54ec63b98fb709f91c1f89f77842049afc3,yes,yes
0x50510e691c90ea098e3fdd23c311731bf394aafd,yes,yes
0x576773cd0b51294997ec4e4ff96c93d5e3ae9038,yes,yes
0xd05ace63789ccb35b9ce71d01e4d632a0486da4b,yes,yes
0xd55bd2c12b30075b325bc35aef0b46363b3818f8,yes,yes
0xfc6e284605ad1604b8c33066cf8265070a59fe46,yes,yes
0x0689aa2234d06ac0d04cdac874331d287afa4b43,yes,yes
0x4d22af37cdbab2fe1b4f21340bab51ef3c12ad2d,yes,yes
0x8ac850b0d2251643218cb6608ef9ba91417d0676,yes,yes
0xc7ed274d6e2a158cdbe8da8141000affa11d33e5,yes,yes
0xdc00239b1d593e2cbe6f908cba1747296c8697ae,yes,yes
0x0feccb11c5b61b3922c511d0f002c0b72d770dce,yes,yes
0x13a246e429ff8e7cf7d371133b511e601bfeb824,yes,yes
0x18e9be45b0e917b5648eb6716ece2de87474e535,yes,yes
0x93b02ee3132d10c938dd178c03a66595154f2940,yes,yes
0x33ff117b155dc6cfa4168bab4ab492487ac767bd,yes,yes
0x8564653879a18c560e7c0ea0e084c516c62f5653,yes,yes
0xc67c620074440c15683ace78c1efa38a4569969b,yes,yes
0x0de05f6447ab4d22c8827449ee4ba2d5c288379b,yes,yes
0x58b4f284fc53bbf349c5168d3f82323189b9a1c9,yes,yes
0x8f9749054390b96cca7b5a41c7215cb6745daaee,yes,yes
0x8a1201c637713eca1347d6e6e49c9f3bb719d94c,no,no
0x853c30fca1ee6709a12d48f555f0ebbd88b9d2b6,no,no
0x287368ac2c569000c92d6aa38ad9e96bc0cfb6ec,no,no
0x17a52af45955a894bc7addbff9537db44ab1f253,no,no
0x7e9fd82a1ef22d30168498912cb4fb36aeb94957,no,no
0x4956daebd5cfa23379dd61d85f2aa4fbe5e113b5,no,no
0xf1c0b41f7600c6fd7b1448946578af0fb3975448,no,no
0xdb5da2a2edd04019643aedc84d45033805a2dac2,no,no
0xa315cc9e9a7093a34bb1a56807bdf495dd223ac9,no,no
0x5dabfe3820a99b42201c77925cb39bb0877a645c,no,no
0xc5aa1da36b7414f66d96748858644c16446394f6,no,no
0x7521cd8da7cc08cad8af5dc5788c3c4ab269e2db,no,no
0x10e7bcd4dd83b6cf9f1e27e2eb50b25cf84929bd,no,no
0x104abeee614b39c7444a06fcb18ea3514c196d09,no,no
0xa7ec722dd66263e89e968f8a1d4f7d0358bfa753,no,no
0x53ba1fe9a7080c10c151e650517c42a249956190,no,no
0x3a9c754364cee8eaf6049cc9982723413576089c,no,no
0x66aedd9a8cf67319b42e8ffb6bb91ebe8a5abd8d,no,no
0x33e0bd290cea0aea1ef56be6102fdf08d8f6897e,no,no
0x6149721ba76ef1ad31b372a5f021cfe95b84638e,no,no
0x896e7b37d3dd82e55a61ef7ffd36ff1a4e6fd0ea,no,no
0x1efa98ce2c507819464b55e9e88347d6816617a2,no,no
0xd78d5616269f180bab2fcb6b140997c89ff6d0da,no,no
0x1ba138052bbf24b53227dd95582bfa49d20c72d4,no,no
0x6280bbf85a6acb4054d4616e537cc758e10fd009,no,no
0x4ef034b4a3fb698f7a4238eef348c50734db579b,no,no
0xadfff2e2b7ab981671e7808091d51c25d285fdc9,no,no
0xd6ae5f52b8dc1d17bbbfb07d11ad3287bf38d028,no,no
0x1254cfdb19078c4af077725adf9c332a8d72ab5a,no,no
0xf07c04eb4d17b040b95e409112e72ffdbab03a32,no,no
0x7e6da006f24aad2a9db14718f3b899ce0e578117,no,no
0xd2c8406429aac38cbf5f9003e8a23cfd9e288e31,no,no
0x9ee9c93af00277fcefdb0ebc90a346d151f9754a,no,no
0xbfcf76b2deb203cd8b9a9de2e77f1dca447b5a6d,no,no
0x4062ab5acfaad93b258f1a810d95f8b189f7a2de,no,no
0x3906cc2d1c809431a54b5ce559c274a90886e61c,no,no
0xa557592ff9acd092187fe20a13a07e1183c7910b,no,no
0xf2ac1d6bec17019e875ce672aeae6ee741902b23,no,no
0x75a4e14ea047b6dd06b287030465e60b05486ab2,no,no
0x689a9020385c4c3c8b5f7f113e6df4b5b7cc7bbe,no,no
0x114416c749ea1491278a343b94bcb184b8719c75,no,no
0x8bc3df5268c047bb1a4299453b48cdcc98d556f6,no,no
0x153b636ed1b49fc237a4a74e060c5f2f39f712de,no,no
0x9a2e09e9ae4de6e42d70eaa8f2023efd37c5c408,no,no
0x36333c2eea4a681b5690d6f7ced37287f26be7d0,no,no
0xd83a52d37a0ea6e654d7b6a366ef630ddd421f1b,no,no
0xbcaa429bd55258a8fcb76a7fb9279752a325f368,no,no
0x24820cc38e2b72c55e277c10136e744a3fe38b8f,no,no
0xba29041341f3069a81371ae6fdf0644e9a9b5538,no,no
0xf6fa73096c1612364c30686ba9d5c57216044a1a,no,no
0x614352bcba3d43233de52522d8a0a81d54ed553d,no,no
0x0a526dd0262773e856f0567889476239dc52ebdc,no,no
0x6a15e8e4cea84e65706abb2f95cf573f410fbb3a,no,no
0x075865083da111ce54151aefaa96dfc8f1dfda29,no,no
0x825085897d3d551a74ae644a3c8cdc8e9a1d9ecf,no,no
0x1690a3247460627960989a12f9ab62b00524a73b,no,no
0x832d750e4553caa35fb58aa59b68df2795512178,no,no
0x9fcbeccd0ffa7f61825b939e96c42712528de81b,no,no
0xcba06bb7d0cefe5ecf2f3604214c8aee0916b631,no,no
0x5a136533b312cb09386e6ca3abfabd03c35c7ccb,no,no
0x1ad3e14d0484b954c7c51a605e07816c0827a3ad,no,no
0xc7725af601bd270da02c7acf984136884542944a,no,no
0xbfe844fc5e02d83c413388f82b9687f1a35a929b,no,no
0xf3997d2d12640a8c0c7b46edf4bc5379ba539bf8,no,no
0xe7ae2f9331e95210330e73e776b16d525b933aed,no,no
0x107ec9b79fca90e841fdcc09930d48a9707f6daf,no,no
0x6beb38ff5a59ac86fa1dc5987672b3940831f5a2,no,no
0xce98fb1d64bd775906cf1feb70cec222b245f0a7,no,no
0xd28781fe7bac3fd957c64fe406dadad7ef111c27,no,no
0x65b6cee60f55995f89638da1a03a396de912764c,no,no
0x01980a8dbb2a5a530898aa1a66acde90e407235a,no,no
0x44355af07e41f0b23c3383e1656817bf7745e866,no,no
0x9161be0c889a6a486b28a61a9fd71f962b403536,no,no
0x67c47234e95fce3a5a1cf689d6cce191fed0bf92,no,no
0x91b4832f58a77a9065d68cc58edbae0c37ab5477,no,no
0xc57c5498bb61b9cf767916e2ae732c1671ea7668,no,no
0x6b924d4ece969f3cac90087c096df4c5d02b701b,no,no
0x06f15455eb0a813e7c91c4fbc13444270ebc65b5,no,no
0x404edf16be4378f9788e9d6a8d0b828e4329756d,no,no
0x04c50484c06e8d9420c069b09b5cbca65aa780cf,no,no
0x16edbdec5d60ec1df29635139b7bd9c8929c01c3,no,no
0x568feba5ff7d72ba4b043bc5e9a2faa3902d969e,no,no
0x9766f43459387b88379ed1ac2b537c2899f4999d,no,no
0x804776717c860665b24f71e7f36b14395e66ab23,no,no
0x2d32705504e6baddf3cfe13409a07b60a320a48d,no,no
0xf22d17bc671558700260c64ee3d552fc4f2ef098,no,no
0xbe7219f3c98557aef999fb1db4f8fff1e1ea1af6,no,no
0x6b93536314be04b84378aea8541367ee7425024c,no,no
0xe6a75de3711d47047de831fa06905fb4b8ee7590,no,no
0x1d7dd003654da1542372288dcb4487f93013f9a2,no,no
0x081db5e84577bf7b122c93d1347a21a187b1fd41,no,no
0xf227526d576fc2159b9a715a165073ec51ffabd9,no,no
0x5fe6c7b95d9d91dc2364f4e0fae35fe74a9c976d,no,no
0xc5fe291f37a7c51da8e396c937e825d5c7d09723,no,no
0x55485dfe9c35eb8f5bb9ed9d3e002049917590ec,no,no
0xcbf823178bf525fd5d02c22ab3db6283f6e846b7,no,no
0xa1639fe64f2aef45a23ef9e5d36f4fd0610e08df,no,no
0xa3578347c80d495f083853ce6b3d4d0037baf355,no,no
0xce95a01d4e8ccbe92af03b9889b2a0b94ca1224d,no,no
0xe647043d7c4f70b52cd39091b2def4efdc1e6540,no,no
0x0b014917837ec6ca91a4672ea56d39352d8dbec3,no,no
0x01ade83a7ac7d13ab01f322d68bc2f8fe371ed27,no,no
0xc46fca825bbbe3ba9bbf649b5906ceee2840d96d,no,no
0xa1d99971da15256b87690d0fdffe3c09b9d3881f,no,no
0x9e08113973b833b0adcbe68b5759de6975e26654,no,no
0x76a154f344e0e14aa8b4932eaa27e6da573d389d,no,no
0xbf473fab41ce26a92ee088279e1cf33cda13e345,no,no
0x4dfba5747947f053b9b7c18cd20d125d7ee19308,no,no
0x91bc6092933f8b490fd112e87f85b6855c195ced,no,no
0xf6fd5a146814fc1bb5886b08511ce29122435d97,no,no
0xf4a33cf7b1e4beb53e0bb854676f29cdd19b8282,no,no
0xaf36faf866b0cf9f0724e8e2b2a14d889df11477,no,no
0x510a30c8be03be7e3970197235760fbb27cc5388,no,no
0x1d239de1ec3d21586d2275ced91e3ddc06b57e29,no,no
0x065531af5be633308558280b29fc2b78e3156c7d,no,no
0x59b1ca528bd9a5bb545c8a123b28ac4d88ce0ac1,no,no
0xac8706565ae9837363874fec3c861b50e936162f,no,no
0xff29d3e552155180809ea3a877408a4620058086,no,no
0x980e79a7af177d98db557cf7bd82f64f089b291d,no,no
0xf8d3cf5326f7d7204799516e208b3d5d6414a2a4,no,no
0x49e6b314c520dd2b44ba78c852288f18f0268b31,no,no
0x5456307590b570f19560d74cec4aa9d47d889f0f,no,no
0x9583ba99d7a54441d9389d7cba9975808bc60bb3,no,no
0x5cd5548a62befac204f7e4a288c31901f299fee2,no,no
0xd1e81bdd5159adc77ecbf57394297af197637acd,no,no
0xaf14fbd363bf04c48c6976b8d77f243a5d1af666,no,no
0x5910b489a22423d4a128a640241e40c73bc022eb,no,no
0x1c32136ca891207d59eb61ad5db6905cbba5ce83,no,no
0xdcea48eed8005b4e8feb3bf39e28ead7b0f4afba,no,no
0xbb20d49334e85933af8d2b30e187f51117969220,no,no
0x3951e060fde53eaa51fb862a894aa4c09d0899bb,no,no
0xc9cd7d527d4de14cd60087275d32a722eb91e2d9,no,no
0x96e1e1dfb8f81b961576361fd732577600a39ca5,no,no
0xa30d4744da6d3243ff1c32c6228355d210187910,no,no
0xe3e425ba29209897ce53a89767e2410169ba7235,no,no
0xb4decaf2e6df4d4589ed6b37ba707a16ec312e2b,no,no
0x8603928a9ac8431b5099a44a222d27ae3db30758,no,no
0xfdeba85cba8f625275ccdcfb8db7875bccedb6ad,no,no
0x05fbcb566288a4162b1300849cfd81a8fbb0e810,no,no
0x4de77323f7928f1cb869fe22e82efc7dda9fd071,no,no
0x63ed7883fad1d76de22be601ca2711e1a9834bca,no,no
0x4ef3a2f12d3d882ca80be55012393d04627e0008,no,no
0x116743eb0b590a32cc2107aba57d889a8b09d630,no,no
0xf359a337ffb6ba4baade8eacc2a1c72022715fc8,no,no
0x3fab33e06942f87e4fa7e014369d07471199af24,no,no
0x9c1b4336cbffd1863e4b1bf6140c13a505b7ee26,no,no
0xe173383cd20b974998750a517cb2feb3075e9aa4,no,no
0x000000314502312189002200945a0094168ed0d1,no,no
0xb5663c9068a7894fab7a4f60a297eb4a9bcaea6b,no,no
0xca19c0f65f0e62620a2244ac1b7c310b697bdb32,no,no
0xd02282878fd49bfd6cbc49be08b29128c5c34292,no,no
0x8650a4615819585fc199f2aa07871a962e6c8e0c,no,no
0xdfd41721c249957427f3f2fd66c8fde36eb1aa49,no,no
0xe1af89bd948cd2fb82bd3ef4f7cb59bbd332736c,no,no
0x399a8d940bb19bba3623e50dbfcbb1ad2a41ea44,no,no
0x1c964722cc10536d18bc4eeb02fcfb7bf5daa6aa,no,no
0x0e3625937352be734b458b751d05832c98308ea5,no,no
0x2dc42d00f7895a414a290169d1443e972336d087,no,no
0x7737b58b8984a650f9ad2f4aa39e7da8e25f3aed,no,no
0xfa09397252327178c2736b976ee3c5b4cbfd584a,no,no
0x50be9adf43827976b6720f39d03f5f68cfbe71e3,no,no
0xc21ed93443e43daf223df01999367bafce7da6d9,no,no
0x581b90ebbd0dd4023ca4ad6a6877a0ae9c16331a,no,no
0xf5eccbd20eb88d9112a798016f763c4f0e788177,no,no
0x690508fcbec72a4af70cc0f023b7d510dfba2ef7,no,no
0xf21ac25682915d9d8e5aa727de059ff6d5990d95,no,no
0xeb0f6b236eff997eabdc185b2d6b139e9f2abc10,no,no
0xcacab0f1f5dfdf997ac43514b3f3784005f97628,no,no
0xbd7f25054c379b14f9fa66dd0e1f5db10ae43a57,no,no
0x50a43f36de45d2f8d0c92a561122970f4442bfce,no,no
0x06b09547f1786d6e8279118962e9f46965a31a67,no,no
0xf43fc97691fa06a6937309fde3153de54b57b677,no,no
0xd51b38ad0e261f684d29418f6bc3ceb1d7e8d95b,no,no
0xcd52b70ce38f218f8080e8eae629ea9cfcbe8dc3,no,no
0x0b71a1092fd3c3bb007f3bec4002c8e32df7b687,no,no
0xc6c61e07c0b285f8e577a9ba1242e52b6c62f50f,no,no
0x05c2e9e6021fd449760835abeb240fc3547b2ebf,no,no
0x8b93145dd8a86987b848e909a58d82ff7012131e,no,no
0xfe3f471f4fba1ed4b083dda5f6dcdb2b659bed22,no,no
0xb442c374d93dadb7294c9ca2151b553ad09b47e6,no,no
0x1f2f6e3fb0b1945e348db66ed6c93afa76e2ad24,no,no
0xf95a2651dd310a3fcd0dbd2b099ab3ca72283ed7,no,no
0x698ca864821b5ac36a34fdd8572f54e4f936ea83,no,no
0x65cdb43398a57de23724ee5fb88f4fcb7ce72cf3,no,no
0x5bf2912be0126356a1a4402d085c9b74b47537d5,no,no
0x18a79d6774ed39fe80adf585db610961b8fba0c9,no,no
0x75d29d25501a2363b54c24190132ec79373a07c8,no,no
0x7fff963a825dd6955c8f3a970e9c0788c1ad6ee8,no,no
0x4b2f24b76bff525ef3347168f6c4772b0ca5f952,no,no
0xeae2c3f599eb7efc51df9f17d12e0da9603b4779,no,no
0x54ccbecdbfcdc9ffe646ed31586ee4e093eed461,no,no
0x59813402f63d11ffab6a5d4e053d2baa302ea7ed,no,no
0xe7ce3199897787a9b845f40602fd8321ab91cd33,no,no
0x815c9225e1d163ee7e5b3ebe495dfad72d04fd08,no,no
0x90dddb33874af56eff68059e766696b4002376e1,no,no
0x8ddf7c873951571853d61ed079aaf1153233b2a8,no,no
0x2d9c994077425cfe25526039ffc07aa9a9966434,no,no
0x1d82975fec64bac6d8483dd9a19aba8586b0fe19,no,no
0xa5bb9ee252978a7a9a96853f81f084747e2aadd4,no,no
0x3d78b07dca82ed81a2fd9c24b78efdbc3ac7c565,no,no
0xfa1ba70426a2f4b83f9b806dcda690a19e0b58cc,no,no
0xdc0b216725d08ee75be6798386bb50b02907d209,no,no
0x047f29528876f967b4d0ddf5826cabfafbffea39,no,no
0xe1e35af63cf605af015d325b05742ee711455e86,no,no
0xd94ccefa2474257ee3a902b8abffb0a48731d354,no,no
0x3af092be3a1b7d21ccdff48ac7aa1ea554ef47f4,no,no
0x4118fbebdba166d5ce4b5dab3f86daf9b280ef11,no,no
0x621bda11b2e36c50670bbd43e883393ca76b69dd,no,no
0xa2ff761f810c8e108f56ad60752e4637fa5f0455,no,no
0x8c76f61fad3b6327e9fdaf2d555629a71886f3e9,no,no
0xcf0ad7a2118c661912e3fe0974a3ffed0fca32cb,no,no
0x4f96e82d5de03ca8c2bc8ab76235b583af4776c4,no,no
0x4989b8c2265d23c951d8a92f0b844d8cbdf63ded,no,no
0x9dc0a8739d60e7c01fb19b0f6f13ec69eb985372,no,no
0xde615cfa18414a85500e3899e77333463a0449d2,no,no
0xa3d899d4e2c798ed1bc743eb0830fb91973dff62,no,no
0x767bf256e23f8ae53f97368a711f51d8f3b7369d,no,no
0xa578dc4efdb3de4b279a424ced12d39ba5e4277c,no,no
0xace4d4fae91ef7948e7d897b378cf0f668e7e20f,no,no
0xe1688c3162c121ee10e941bbea9ceaceaf47580e,no,no
0x1cf68b6dce26a7bda34b11ee8e1f4e15abc80c36,no,no
0x73caafc89410a2eb87155581387b6a40ccc5878e,no,no
0xeb23813e1088109a0e79b38bf0a526c96a3fb17d,no,no
0xcdd06bf65909ffb4cd13ec62735ba653f93dd76f,no,no
0xbd58dbea40074cdae609e59026a42c02db56cd79,no,no
0xfaa45459105afeaeaa92690feb31e44e63bef816,no,no
0x7562eee618a575740c1ad723cfaeffe5db216e57,no,no
0x8e207d5dbab1b9969801ea514fdc42e476be5501,no,no
0xa44f89cbb2053c5f6f2c238294bdc262e9a8fb2e,no,no
0x48acb946bb4a17fa7ac1107b3aab04c776962a15,no,no
0xe18c031c11c56f82109eece5a655b958201a1aeb,no,no
0xba9e44400f50bc9a9ba1b9dadddcec41d3845b57,no,no
0xc80606e23fcd11c347893b0b9d9d29739068887d,no,no
0x0b0a9689be20bd0c0ca70f8c863997c8030e7bf5,no,no
0x6411693ef222e1bbb04c2ba38b7cbd095545c9d6,no,no
0x6ae4ace745da39e51bc05021bb7612e51302289c,no,no
0x02f504da04be24982d00d7edab5546a9989bff6e,no,no
0x6fce93d9359fce79bef7f6811a227c52355e1347,no,no
0x3a20e7509d410757fe269d52100138bd1900dcca,no,no
0x127fcbce4ab208556c7f772a9853f7380be2885d,no,no
0x8a7b5eb529c91613ca1402428d34622b10a98662,no,no
0x2aaddea0f7a7f4baf58bf114c5890e48ac1ac9b9,no,no
0x3f3a59c974f0894bc5a71bdc7d9b1a3fb62e839a,no,no
0xc26151e831e2bbc26ec9de49375b76622efc2ffd,no,no
0xdc27fac895890565fa2c2b82b89981077513a157,no,no
0xd2135bf9c281e6cc49e01c862b3f500e609ff9b9,no,no
0x671410898c0934c99b9be181dab3cfe099eafc6c,no,no
0x46b0a2fcb7a2c0c06a759c6f95587a5f512c0787,no,no
0xb851ae17d27d91683af5532369a58e9a4c55505e,no,no
0x78692d74aa84b14d92e0dd9b10f0667be82e8f12,no,no
0xece55aa42eaa8749b0c10282bf2c0a5696ca43d1,no,no
0xcfe71d62f881219c1406dc07f5fa3a55d303604d,no,no
0xa1f99bb516d0b9c07e2e9c13425e62678624c082,no,no
0xdb91f0b0ccef1a3c442f7eac1d3b2b47f628e7c2,no,no
0x7d57fbc641d88c4850510249a6301ace092f6c54,no,no
0xa65fde992b214dbe4d4317e50fc7ec906d6bf088,no,no
0x142e98df2bd5de7ffe21434176064cafb478852b,no,no
0x2a2a9a5fb52d954573b799b98420e968bad2c7f1,no,no
