Address,manually labeled proxy(yes/no),detection(yes/no)
0xc1b9eb46c3812b11b98ddacd80736329f3bc4747,yes,yes
0xc5cacb708425961594b63ec171f4df27a9c0d8c9,yes,yes
0xc743a0673a8308193a8795fef030dd540be18f69,yes,yes
0xcf520e3d57e7efabda0885978461d88e846674dd,yes,yes
0xd17a9bc90c582249e211a4f4b16721e7f65156c8,yes,yes
0xd4dc14409ac0beb743597be70f062eacfebc8bc4,yes,yes
0xd43d38254e22487744bce554baca9aa35dfeb9cc,yes,yes
0xd44fd0423e2b9b261dc81c959afe1e67cadde510,yes,yes
0xd77e6bdb5f61bf6d6abb1e8545bcb8ccb2414550,yes,yes
0xd976d3b4f4e22a238c1a736b6612d22f17b6f64c,yes,yes
0xdda27401e061ef71d17e578034fe54b0c50aa0f9,yes,yes
0xe6d97b2099f142513be7a2a068be040656ae4591,yes,yes
0xe9cc6c4abb8329df3c47edd6784fed2411dce1ed,yes,yes
0xe46bfc3cc81b4032b9aded6a3cef4dfe4ae51b31,yes,yes
0xe47ffbddb8114f0d169cd46b973674f67fbaaf05,yes,yes
0xe892c56c86e3ae682b0aa644cbe87f2aca3bd907,yes,yes
0xeaee3a142ac4e0494bfb60d493b804ca9a739339,yes,yes
0xecbf566944250dde88322581024e611419715f7a,yes,yes
0xf9b0871d3a8dc365f6231653f7d879c9578ed039,yes,yes
0xf83a1748422811b18db69533b0485c9c744b765e,yes,yes
0xf613f773f09eff9b6c5d82a0660176786025aa4c,yes,yes
0xfe4669f8788ea27976b401d5d3e252cf4d6f8d95,yes,yes
0x0a625fcec657053fe2d9fffdeb1dbb4e412cf8a8,yes,yes
0x2a9bdcff37ab68b95a53435adfd8892e86084f93,yes,yes
0x6df5cb08d3f0193c768c8a01f42ac4424dc5086b,yes,yes
0x6ee76882400f67584b1610276bc7ee28940112f3,yes,yes
0x8e46456bdc6d55e37b231e4c84aefb12fad12239,yes,yes
0x32e4c68b3a4a813b710595aeba7f6b7604ab9c15,yes,yes
0xcf04119ec2657f92cc07d62c21d820332f07b900,yes,yes
0xd8ee69652e4e4838f2531732a46d1f7f584f0b7f,yes,yes
0xef854fb73815517b06acbb2889a97aedae6bdc72,yes,yes
0x0acf809f5329835335931fa9631f8b7861d3d65c,yes,yes
0x0e41afb50ef97aa02598ebdce4f884c47a22954e,yes,yes
0x1b72255a11df705bb598e670830e03a19f2d242f,yes,yes
0x3cd76b8c1dbaf47051ccb793772ac5f096108869,yes,yes
0x3e0c8881ccb875b5257d800be6ed33e06f500773,yes,yes
0x4d6cfdad8a73745612f5dd85125f06090e87b68c,yes,yes
0x4ea313337eda2b7ae8d86709a7046512dfc4d186,yes,yes
0x7a9f4a92781fb24de8fd162460d443d9c4b8c7c2,yes,yes
0x007d7f360ae0ec72115d3149852e25aea7f7500e,yes,yes
0x8e45ba65b67674d359eb87364981fa50579a0606,yes,yes
0x14b52f6bb94fdaf97788533764ec4d6432f20bec,yes,yes
0x49d2a0c0e1d4fceb22434b2cb6436f315f5beb3e,yes,yes
0x65ca2a9f12db2cb6cf37eed4470fa5f2690241de,yes,yes
0x75bd567130347e150325d370ad886f603ab582a6,yes,yes
0x75f36ea36d3f37d3bafe3bdb52a2de4fda7806de,yes,yes
0x78bc5225777ef86b51e437b2f9f8278cf20ebdee,yes,yes
0x81af92af5ac442a0cb1927bab7cf0a880b9d34db,yes,yes
0x89b748bcddb34e9aa90e743b24eff7c9c1240dd6,yes,yes
0x208c6821b80130e1924969cf47e81838652763d5,yes,yes
0x559b1137d4d3ae6c3b0e657ec065b5db1b6051a3,yes,yes
0x603ec42623d899f3e34af949cb0b926627f0cdfa,yes,yes
0x681bbd0f8fe641441a6f4fb57a8785036b833b6d,yes,yes
0x933bcc3b0d1eea2a485424ec6573b29742cddf72,yes,yes
0x02706fda07c272929655ffa811920aba270a1444,yes,yes
0x7058ee5467edef417746aab0b8cabbbe36ef1798,yes,yes
0x9792ee4c36a622a8cf9566b037c57519a9fe8a56,yes,yes
0x57090d9d1650b91976d1d3f9c2bceb411b64e360,yes,yes
0x661449dee9e8c576a458ef6eef549ff8af6f2731,yes,yes
0x77164825d2867cfd1de17febc970877f9368fed7,yes,yes
0x00832130896b1992f6be24a4130e5e1e56d29d65,yes,yes
0xa0cef694c7d1cc1958638e579439ec64cd15ce15,yes,yes
0xa9ce26a7f2a206d165c0aff83bbcdf81fd4b489e,yes,yes
0xa60cb5af1b7b529d42dcdd114c6ae5300250b1db,yes,yes
